source	target
AATF	FGF8
AATF	FGFBP1
AATF	GLI4
AATF	H1-1
AATF	H1-2
AATF	H1-3
AATF	H1-4
AATF	H1-7
AATF	H4C1
AATF	HIPK2
AATF	KAT2A
AATF	KRR1
AATF	LDOC1
AATF	LIN28A
AATF	MAGEB2
AATF	MAGED1
AATF	MAPT
AATF	MDM2
AATF	MNS1
AATF	MPHOSPH10
AATF	MYC
AATF	NAT10
AATF	NEIL1
AATF	NGDN
AATF	NOL10
AATF	NOL6
AATF	NOP2
AATF	NPM3
AATF	NXF1
AATF	PARP1
AATF	PIK3R1
AATF	POLR2J
AATF	PRKRA
AATF	RAC1
AATF	RB1
AATF	RBBP8
AATF	RBM19
AATF	RBM4B
AATF	RELA
AATF	RPF2
AATF	RPL10
AATF	RPL11
AATF	RPL13
AATF	RPL13A
AATF	RPL17
AATF	RPL19
AATF	RPL3
AATF	RPL31
AATF	RPL35
AATF	RPL36AL
AATF	RPL4
AATF	RPL7A
AATF	RPLP0
AATF	RPS10
AATF	RPS19
AATF	RPS2
AATF	RPS3
AATF	RPS3A
AATF	RPS6
AATF	RPS8
AATF	RPSA
AATF	SP1
AATF	SRP14
AATF	SRSF1
AATF	SRSF4
AATF	SRSF6
AATF	STAU1
AATF	SURF6
AATF	TADA2A
AATF	TADA2B
AATF	TADA3
AATF	TBL3
AATF	TMSB4Y
AATF	TP53
AATF	WDR36
AATF	ZC3H10
AATF	ZC3H3
AATF	ZNF346
AATF	ZNF668
AATK	ATAD3A
AATK	CDK5
AATK	CDK5R1
AATK	COXFA4
AATK	FBXW11
AATK	HSPA1B
AATK	HSPA4L
AATK	HSPH1
AATK	P4HA1
AATK	PPP1CA
AATK	PPP1CB
AATK	PPP1CC
AATK	SLC25A11
AATK	STK39
AATK	TAB1
AATK	TEPSIN
ABAT	ALDH7A1
ABAT	ARMH1
ABAT	ASGR1
ABAT	DSTN
ABAT	EPHX1
ABAT	ETFA
ABAT	FAHD1
ABAT	GPM6A
ABAT	NUFIP1
ABAT	PGM2
ABAT	SEC22C
ABAT	SERINC1
ABAT	SOD2
ABAT	SYBU
ABAT	ZSCAN29
ABCA1	ABCA12
ABCA1	APOA1
ABCA1	CANX
ABCA1	CDC42
ABCA1	COPS2
ABCA1	FADD
ABCA1	FLOT1
ABCA1	NR1H2
ABCA1	SNTA1
ABCA1	SNTB1
ABCA1	SNTB2
ABCA1	STX12
ABCA10	ABCA6
ABCA10	ABCA9
ABCA10	POTEF
ABCA12	MBNL1
ABCA13	CUL3
ABCA2	ABCA6
ABCA2	ABCB9
ABCA2	ABCD4
ABCA2	ACKR5
ABCA2	ADCY3
ABCA2	ATP2A3
ABCA2	ATP5F1A
ABCA2	ATP5F1B
ABCA2	ATP5F1C
ABCA2	ATP5PB
ABCA2	BRICD5
ABCA2	BTNL3
ABCA2	C1orf54
ABCA2	CLEC2D
ABCA2	CLEC4E
ABCA2	CLGN
ABCA2	CRISP1
ABCA2	DIPK1A
ABCA2	DNAJC18
ABCA2	EDEM2
ABCA2	ENTREP3
ABCA2	ETNK1
ABCA2	FBXO2
ABCA2	FBXO45
ABCA2	FBXO6
ABCA2	FGFR3
ABCA2	GPR45
ABCA2	GUCY1B1
ABCA2	HFE
ABCA2	HLA-DMB
ABCA2	HLA-DRA
ABCA2	HTR3A
ABCA2	ITM2C
ABCA2	ITPRIPL1
ABCA2	KCNE3
ABCA2	KLRD1
ABCA2	LCN6
ABCA2	LGALS1
ABCA2	LGALS9
ABCA2	LLCFC1
ABCA2	LMAN2L
ABCA2	MARCHF4
ABCA2	MRAP2
ABCA2	MYCBP2
ABCA2	NT5C3A
ABCA2	OCIAD1
ABCA2	OR10H1
ABCA2	OR4N2
ABCA2	P2RY8
ABCA2	PCDHB3
ABCA2	PDZD8
ABCA2	PEX11B
ABCA2	PIGH
ABCA2	PIGM
ABCA2	PON2
ABCA2	PTCH1
ABCA2	SARAF
ABCA2	SDF2L1
ABCA2	SFTPC
ABCA2	SLC12A4
ABCA2	SLC22A9
ABCA2	SNX14
ABCA2	ST7L
ABCA2	TGFA
ABCA2	TMEM9B
ABCA2	TSPAN15
ABCA2	TTMP
ABCA2	TTYH1
ABCA2	UPK2
ABCA2	VAMP5
ABCA2	XIRP1
ABCA2	ZDHHC12
ABCA2	ZNRF2
ABCA2	ZNRF4
ABCA3	ADGRG5
ABCA3	ASIC4
ABCA3	CD79B
ABCA3	CHRNB2
ABCA3	CHRND
ABCA3	HTR3A
ABCA3	IL17RC
ABCA3	KLRC2
ABCA3	MARCHF4
ABCA3	MCOLN3
ABCA3	MPPE1
ABCA3	NKAIN1
ABCA3	RNF149
ABCA3	TCTN2
ABCA3	TMEM130
ABCA3	TMEM59
ABCA3	TMEM9B
ABCA3	TMPRSS12
ABCA3	TTMP
ABCA3	TTYH1
ABCA3	ZDHHC12
ABCA3	ZNRF4
ABCA5	TTMP
ABCA6	ABCA8
ABCA6	ANKLE2
ABCA6	CISD3
ABCA6	DNAJC30
ABCA6	FADS1
ABCA6	STX6
ABCA7	ALKBH4
ABCA7	GABRA3
ABCA7	HTR3A
ABCA7	MARCHF4
ABCA7	TMC4
ABCA7	TMEM106A
ABCA7	TSPAN16
ABCA7	TTMP
ABCA7	TTYH1
ABCA8	AMY1C
ABCA8	CST2
ABCA8	CST4
ABCA9	BLK
ABCA9	GET4
ABCA9	PMM1
