Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Leukocyte transendothelial migration	5/114	0.0119717055981992	0.0215899989847866	0	0	3.852426879949816	17.047795180276818	VASP;PRKCB;PECAM1;PLCG1;ARHGAP35
KEGG_2021_Human	Bacterial invasion of epithelial cells	4/77	0.0136335531427864	0.0243786416366775	0	0	4.590614981055086	19.717707622187287	SEPTIN1;HCLS1;SEPTIN9;WASF2
KEGG_2021_Human	Wnt signaling pathway	6/166	0.0149204605571342	0.0264556065340782	0	0	3.154667381974249	13.265445164189735	PPP3CB;APC;PRKCB;EP300;NFATC2;MAP3K7
KEGG_2021_Human	Type II diabetes mellitus	3/46	0.0175364503757024	0.0308349252439435	0	0	5.82912889239259	23.569929286507836	PRKCD;MAPK1;MAPK3
KEGG_2021_Human	Nucleotide excision repair	3/47	0.0185704717468802	0.0323832193272043	0	0	5.696359784283513	22.706729687130412	CUL4A;LIG1;ERCC6
KEGG_2021_Human	Relaxin signaling pathway	5/129	0.0194686958103979	0.0336712689835571	0	0	3.383822718500138	13.328699856149855	MAP2K2;MAPK1;RAF1;MAP2K7;MAPK3
KEGG_2021_Human	Alcoholism	6/186	0.0245702465336581	0.0421489595008282	0	0	2.8012875536480686	10.382185319863911	HDAC1;CAMK4;MAPK1;BRAF;RAF1;MAPK3
KEGG_2021_Human	Fluid shear stress and atherosclerosis	5/139	0.0258774054102662	0.0436810603325294	0	0	3.1297040438831485	11.437143728361018	PRKAA1;PECAM1;ARHGEF2;MAP2K7;MAP3K7
KEGG_2021_Human	Measles	5/139	0.0258774054102662	0.0436810603325294	0	0	3.1297040438831485	11.437143728361018	BAD;CBLB;ADAR;EIF2AK4;MAP3K7
KEGG_2021_Human	Arginine biosynthesis	2/22	0.0280726756354134	0.0470105917386685	0	0	8.329535864978903	29.76108657825104	GLUD1;GLS
KEGG_2021_Human	Spinocerebellar ataxia	5/143	0.0287773952799969	0.0478112630242469	0	0	3.0383686361947233	10.780633513756245	ATXN2;PRKCB;ITPR3;CIC;PUM2
KEGG_2021_Human	Circadian entrainment	4/97	0.0290749361190089	0.0479282150086788	0	0	3.5997254632807136	12.735392322052707	PRKCB;MAPK1;ITPR3;MAPK3
KEGG_2021_Human	Proximal tubule bicarbonate reclamation	2/23	0.0305080861038094	0.0499008230070061	0	0	7.932489451476793	27.68251224985461	GLUD1;GLS
KEGG_2021_Human	Phospholipase D signaling pathway	5/148	0.0326812765089975	0.0530442257184498	0	0	2.9313848544617773	10.028129662203533	MAP2K2;MAPK1;PLCG1;RAF1;MAPK3
