	αCD3_5min	αCD3_αCD226_5min	αCD3_αICOS_5min	αCD3_αCD2_5min	αCD3_10min	αCD3_αCD226_10min	αCD3_αICOS_10min	αCD3_αCD2_10min
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH	0.3426463134130917	1.5727706152259753	0.23076035522589966	1.385861515734313	0.26598314613850915	0.31289965199074615	0.9854468879344194	0.22099802557957998
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0.593389114709137	0.9168032002630804	1.3434085938038582	0.8774279966708071	0.43848149339724873	0.9537447506663226	0.7772222778756317	0.2109110596998207
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	0.34649154448788727	0.7175818805181463	0.6344045475087905	1.9375178920173468	1.401609386412837	1.8450980400142594	1.470802365112065	0.8908001323374816
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	1.0969100130080565	0.6866455293712909	0.6838461437770068	0.08086564821819898	1.6575338875579864	0.6737657705680467	0.32240473217563637	0.565810937481028
GOBP_POSITIVE_REGULATION_OF_DNA_METABOLIC_PROCESS	0.27251026637898534	0.5277619391798049	1.02190184144783	1.4163630914988243	1.0390640228396424	0.9609461957338316	1.2476096117607782	1.3715296320992947
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	1.4651624533305685	0.18182288309950134	0.8686080320001826	0.5935096211235679	0.6793498532686066	0.30862085401147116	1.7838015244063523	0.4244581412470427
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	0.33680886077878053	0.20894381593084882	0.6107029528314688	0.15269180518062625	0.4157246298518123	0.20587826231226347	1.4543366159693427	0.15285339731047398
GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION	0.18428573767095283	0.2611432149539403	0.4134722778188773	0.019703334816112382	1.5972562829251429	0.189337762494974	0.5455999488730232	0.2775257885949173
GOBP_POSITIVE_REGULATION_OF_GROWTH	0.3487901052839191	1.34192888374581	0.2816585915962362	0.8280647007154767	0.3442790837139464	0.27504098931042525	0.9140099664001011	0.3100468139833565
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	0.4608305502715485	1.2282785296452277	0.6458256361511125	0.6104673808869632	1.531919154770681	0.33226123302805993	0.7821054004476835	0.6456405626343631
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT	1.3048135433941086	0.22056953077718336	0.7953687818737352	0.3183836702027344	0.08880159578719486	1.123535522198862	0.1050046247759702	0.6175098464825356
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	0.39889345467936016	0.3189680107527215	0.6169138153484549	0.34273674217028105	1.3770061018363946	0.09828654183685971	0.4140268285654925	0.42684063475727346
GOBP_POSITIVE_REGULATION_OF_LOCOMOTION	2.353627758985553	1.0054514667489654	1.4557962174139254	1.4730305386175084	2.966610986681953	0.8285829519486982	0.5568525888483085	0.6554827462419122
GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE	0.3046086637924807	0.22664763249812508	1.003480340747422	0.16466486594084237	1.3090356505884948	0.4888527643729904	0.13105339497598664	0.16995772064501558
GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	0.6237299705597581	0.40883197721354003	0.16570922326195947	0.17402154354874308	0.8460300027794142	0.6714235622755135	0.5026344054005258	1.3974826158104827
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1.1841588808037142	0.8217318216900442	0.49144979495677854	0.1730466182701798	1.4388937908298924	0.2957550990536176	0.5590909179347823	0.664947924481708
GOBP_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION	0.22826329384847469	1.6582625065119863	0.13997525080696654	0.570918032303576	0.6940871917058193	0.5046067706419538	0.3436742508005134	0.2899813269649414
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	1.2519482008750622	1.363969939510105	0.43898521189528056	1.7053234329500024	1.180736164101445	2.374289987675315	1.4404592689935178	0.8940980616013521
GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	0.5425397337458585	1.0631119348514615	1.3302157366463059	0.5133334273741073	1.547528576459783	0.6898373072019116	0.2724658771137819	0.32461739294149855
GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY	0.6071727388486021	0.3293399070253608	0.5935441404054328	1.8051347400692381	0.16556729906762335	1.2276631871193402	0.12666968541984686	0.03342375548694965
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	1.3010299956639813	0.8195439355418688	0.10076553785229737	0.06347657954181063	0.12127995774931886	0.03159898607170235	0.3183545797363255	0.32999369159929787
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	1.520227135322008	0.5630836737406811	0.6361291664758283	0.38143633274091227	0.5663720124389111	1.0807987320212442	1.134652614377661	0.19485919686342457
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION	0.976492959858113	0.032219813359845396	1.3298470558065254	0.14483356532523925	0.845098040014257	0.9852767431792939	0.19108034504530277	0.7208558464292114
