condition	Name	Term	ES	NES	pval	fdr	FWER p-val	Tag %	Gene %	Lead_genes	kinase
αCD3_5min	prerank	CDK5	0.4885741455594942	1.0528812656723654	0.40717821782178215	0.8875162957476639	1.0	3/23	8.45%	AGAP2;EPRS1;HTT	CDK5
αCD3_5min	prerank	IKKB	0.6043452293495649	1.052545291656027	0.42778541953232463	0.8606964331102263	1.0	5/8	22.07%	BCL10;PFKFB3;HTT;OPTN;STAT1	IKKB
αCD3_5min	prerank	TBK1	0.62628461942441	1.0483354925204895	0.449438202247191	0.8479241281749118	1.0	5/7	34.54%	HTT;OPTN;RPS6KB1;RPTOR;TRIP12	TBK1
αCD3_5min	prerank	MARK2	0.6437450610122916	1.036863691473566	0.4758522727272727	0.8576563286502434	1.0	3/5	28.96%	ARHGEF2;MARK2;HDAC7	MARK2
αCD3_5min	prerank	PKCI	0.5951698379087352	1.0027715981986554	0.529331514324693	0.9273768170319895	1.0	4/7	29.70%	EP300;MARK2;MARK3;VIM	PKCI
αCD3_5min	prerank	Lck	0.5397838436729174	1.0006193283598332	0.5116918844566712	0.906978451806038	1.0	3/11	11.57%	PRKCQ;CD5;LCP2	Lck
αCD3_5min	prerank	Src	0.4133083253621662	0.9901229618440491	0.5111358574610245	0.9107789819812188	1.0	23/55	29.94%	GAPDH;EMD;RPS6KA3;BCLAF1;ARAF;ITGB7;ARHGEF7;ARHGAP35;MAPRE1;ARHGEF2;RAPGEF1;RBM10;MPZL1;STAT1;ARHGAP5;THRAP3;TRIM25;ARHGDIA;RAF1;PRKD2;ACLY;IQGAP1;PAG1	Src
αCD3_5min	prerank	Chk1	0.40736940792004234	0.9881370219398798	0.5100222717149221	0.8918053840013912	1.0	17/57	21.99%	EML3;MATR3;BAZ1A;NUP153;SRRM2;EPRS1;MKI67;MAP2K2;BUD13;MED1;MYCBP2;ARHGEF2;TLK1;RB1;MDC1;CCDC6;ANKRD12	Chk1
αCD3_5min	prerank	MAPKAPK2	0.47826754733775523	0.9774485805018094	0.5334190231362468	0.8966342759446209	1.0	7/19	25.10%	PARN;PFKFB3;CEP131;MRTFA;RBM7;RCSD1;NELFE	MAPKAPK2
αCD3_5min	prerank	PKCD	0.47190736855793675	0.9714726561111892	0.5170670037926675	0.8895636702533254	1.0	5/19	22.07%	GAPDH;PTPN22;EP300;MARK2;STAT1	PKCD
