condition	Name	Term	ES	NES	pval	fdr	fwer	tag_pct	gene_pct	Lead_genes	go_id	term_label
αCD3_5min	prerank	GOBP_REGULATED_EXOCYTOSIS	0.4675982488753161	0.9660050128597277	0.5456852791878173	0.9640235404114212	1.0	1/20	0.41%	RAB3GAP1		GOBP_REGULATED_EXOCYTOSIS
αCD3_5min	prerank	GOBP_RESPONSE_TO_METAL_ION	-0.3681822340433827	-0.9650597577129315	0.5073170731707317	0.8155811420770007	1.0	6/23	10.25%	MNAT1;PRKAA1;G6PD;BRAF;HNRNPD;KMT2A		GOBP_RESPONSE_TO_METAL_ION
αCD3_5min	prerank	GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	0.3842800388590675	0.9632741405283016	0.5644637053087758	0.9698994303179173	1.0	11/75	12.14%	SPN;PLCG1;TPD52;HCLS1;PRKCQ;MAPK3;HIPK1;HELZ;SASH3;CEP131;MED1		GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION
αCD3_5min	prerank	GOBP_DEVELOPMENTAL_CELL_GROWTH	-0.3661642641240962	-0.9632618484084631	0.5	0.8117819339336454	1.0	4/22	4.92%	ITSN2;LIMK1;G6PD;PAK1		GOBP_DEVELOPMENTAL_CELL_GROWTH
αCD3_5min	prerank	GOBP_CHROMOSOME_ORGANIZATION	0.3715487340016478	0.9624082296451918	0.5945089757127772	0.9699981492892497	1.0	23/105	20.43%	EML3;SMARCD2;ACIN1;PRKCQ;MAPK3;PARN;CDC27;SMC4;BAZ1B;RIPOR2;EML4;TACC3;PBRM1;CDCA5;EP300;MAPRE1;CLASP1;TERF2IP;NUP107;BCCIP;TOPBP1;RB1;TPR		GOBP_CHROMOSOME_ORGANIZATION
αCD3_5min	prerank	GOBP_VACUOLE_ORGANIZATION	0.4447092968645745	0.9612806279286913	0.5738498789346247	0.9707755408306956	1.0	9/23	31.09%	RAB3GAP1;WIPI2;TREX1;RAB5A;MTM1;PI4KB;PPP3CB;HOOK1;CLN6		GOBP_VACUOLE_ORGANIZATION
αCD3_5min	prerank	GOBP_MONOATOMIC_CATION_TRANSPORT	0.41781073551318254	0.9612515250905131	0.5480880648899189	0.9684589849891994	1.0	9/38	18.05%	PLCG1;STIM2;SARAF;STIM1;EPB41;TMEM109;AP3D1;PRKCB;LIME1		GOBP_MONOATOMIC_CATION_TRANSPORT
αCD3_5min	prerank	GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS	-0.3172176143823406	-0.9608381354360435	0.5273972602739726	0.8106823859303739	1.0	6/40	5.66%	CARD11;NCOR1;PRKAA1;SLC4A7;G6PD;PDHA1		GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS
αCD3_5min	prerank	GOBP_REGULATION_OF_CELL_CELL_ADHESION	0.39478824333367396	0.9591004254165642	0.5694760820045558	0.9722386126469041	1.0	12/56	13.62%	SPN;SMARCD2;PTPN22;PRKCQ;BCL10;CD5;SASH3;RIPOR2;AFDN;PBRM1;EP300;AP3D1		GOBP_REGULATION_OF_CELL_CELL_ADHESION
αCD3_5min	prerank	GOBP_REGULATION_OF_CELL_CYCLE	0.3616234163811634	0.9588922160927642	0.6181262729124236	0.970490024901328	1.0	37/161	21.66%	EML3;CHORDC1;SMARCD2;NUP214;SIPA1;MKI67;TMSB4X;CDC27;SMC4;PHACTR4;BAZ1B;CEP131;RIPOR2;TACC3;MED1;PBRM1;TAOK3;TREX1;AHCTF1;KIF20A;RBL1;WDR62;MRGBP;MDM1;JUNB;NF2;PHIP;GIGYF2;RBL2;TOPBP1;MARK3;EIF4G1;RB1;MDC1;TPR;KHDRBS1;PRR11		GOBP_REGULATION_OF_CELL_CYCLE
αCD3_5min	prerank	GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	0.3815930149899781	0.958842962358158	0.5858695652173913	0.9682420029264013	1.0	17/74	22.15%	NCOA5;TMF1;PRKCQ;EPRS1;MAPK3;PIK3C2A;MED1;EP300;NCOA2;PRKCB;OSBPL8;PHIP;RB1;URI1;PRKAR2A;NDEL1;NCOA3		GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS
αCD3_5min	prerank	GOBP_RNA_EXPORT_FROM_NUCLEUS	0.43074407182192626	0.9587634733451538	0.5570228091236494	0.9661401107026586	1.0	4/28	4.35%	IWS1;NCBP1;NUP214;NUP153		GOBP_RNA_EXPORT_FROM_NUCLEUS
αCD3_5min	prerank	GOBP_NUCLEOTIDE_EXCISION_REPAIR	-0.3733166372281759	-0.9579685992870228	0.542713567839196	0.810216940046979	1.0	3/21	5.91%	MNAT1;SIRT1;ARID1A		GOBP_NUCLEOTIDE_EXCISION_REPAIR
αCD3_5min	prerank	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	0.4161772202959283	0.9578431911131474	0.5588942307692307	0.966311309713946	1.0	9/36	13.62%	SPN;SMARCD2;PRKCQ;BCL10;CD5;SASH3;PBRM1;EP300;AP3D1		GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION
αCD3_5min	prerank	GOBP_NEGATIVE_REGULATION_OF_GROWTH	0.46509330139235683	0.9575645471438808	0.5667506297229219	0.9624469562417772	1.0	5/19	19.69%	SIPA1;CDKN2AIP;NDRG3;NF2;RB1		GOBP_NEGATIVE_REGULATION_OF_GROWTH
αCD3_5min	prerank	GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH	0.46509330139235683	0.9575645471438808	0.5667506297229219	0.9624469562417772	1.0	5/19	19.69%	SIPA1;CDKN2AIP;NDRG3;NF2;RB1		GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH
